date_sold,price,suburb,city_name,state,lat,lon,bedrooms,property_type,loc_pid,lga_pid,Total sale 
05/07/2020 00:00,990000,Abbotsford,Sydney,NSW,-33.85064816,151.1319618,2,unit,NSW3,NSW282,
05/22/2020 00:00,860000,Abbotsford,Sydney,NSW,-33.8518076,151.1297184,2,unit,NSW3,NSW282,
12/12/2018 00:00,1030000,Abbotsford,Sydney,NSW,-33.848938,151.131197,2,unit,NSW3,NSW282,
02/25/2019 00:00,850000,Abbotsford,Sydney,NSW,-33.847565,151.129123,2,unit,NSW3,NSW282,
04/12/2019 00:00,1220000,Abbotsford,Sydney,NSW,-33.850851,151.129917,3,unit,NSW3,NSW282,
05/06/2019 00:00,1010000,Abbotsford,Sydney,NSW,-33.849712,151.129852,2,unit,NSW3,NSW282,
06/04/2019 00:00,770000,Abbotsford,Sydney,NSW,-33.851801,151.129716,2,unit,NSW3,NSW282,
06/29/2019 00:00,1300000,Abbotsford,Sydney,NSW,-33.845455,151.13059,2,unit,NSW3,NSW282,
07/23/2019 00:00,1125000,Abbotsford,Sydney,NSW,-33.851237,151.131415,3,unit,NSW3,NSW282,
07/31/2019 00:00,839500,Abbotsford,Sydney,NSW,-33.85514182,151.1313558,2,unit,NSW3,NSW282,
08/15/2019 00:00,3300000,Abbotsford,Sydney,NSW,-33.847844,151.132027,3,unit,NSW3,NSW282,
08/22/2019 00:00,1800000,Abbotsford,Sydney,NSW,-33.84666509,151.1257157,3,unit,NSW3,NSW282,
06/18/2020 00:00,,Concord,Sydney,NSW,-33.85779456,151.1181036,3,unit,NSW1012,NSW282,
09/03/2019 00:00,900000,Abbotsford,Sydney,NSW,-33.8515967,151.1274682,2,unit,NSW3,NSW282,
09/11/2019 00:00,983000,Abbotsford,Sydney,NSW,-33.850648,151.132005,2,unit,NSW3,NSW282,
09/21/2019 00:00,1330000,Abbotsford,Sydney,NSW,-33.84543392,151.1306095,2,unit,NSW3,NSW282,
09/27/2019 00:00,1520000,Abbotsford,Sydney,NSW,-33.85009524,151.1327133,3,unit,NSW3,NSW282,
09/28/2019 00:00,1020000,Abbotsford,Sydney,NSW,-33.84660069,151.1300156,3,unit,NSW3,NSW282,
10/11/2019 00:00,810000,Abbotsford,Sydney,NSW,-33.85483735,151.1327454,2,unit,NSW3,NSW282,
10/16/2019 00:00,3600000,Abbotsford,Sydney,NSW,-33.84395643,151.1299195,3,unit,NSW3,NSW282,
10/22/2019 00:00,1100000,Abbotsford,Sydney,NSW,-33.85064816,151.1319618,3,unit,NSW3,NSW282,
11/05/2019 00:00,1050000,Abbotsford,Sydney,NSW,-33.85127926,151.1314018,2,unit,NSW3,NSW282,
11/11/2019 00:00,1500000,Abbotsford,Sydney,NSW,-33.84937315,151.1306593,3,unit,NSW3,NSW282,
02/04/2020 00:00,,Concord,Sydney,NSW,-33.867131,151.097045,2,unit,NSW1012,NSW282,
11/14/2019 00:00,1268000,Abbotsford,Sydney,NSW,-33.84706653,151.1317727,2,unit,NSW3,NSW282,
11/26/2019 00:00,2450000,Abbotsford,Sydney,NSW,-33.8478446,151.1320264,2,unit,NSW3,NSW282,
11/28/2019 00:00,1015000,Abbotsford,Sydney,NSW,-33.8456665,151.1307922,2,unit,NSW3,NSW282,
01/14/2020 00:00,,Concord,Sydney,NSW,-33.866749,151.09605,2,unit,NSW1012,NSW282,
12/06/2019 00:00,1265000,Abbotsford,Sydney,NSW,-33.84706653,151.1317727,3,unit,NSW3,NSW282,
01/21/2020 00:00,1900000,Abbotsford,Sydney,NSW,-33.84896612,151.1311832,3,unit,NSW3,NSW282,
02/08/2020 00:00,1635000,Abbotsford,Sydney,NSW,-33.84877436,151.1305642,3,unit,NSW3,NSW282,
02/25/2020 00:00,910000,Abbotsford,Sydney,NSW,-33.85209051,151.128584,2,unit,NSW3,NSW282,
03/07/2020 00:00,1317500,Abbotsford,Sydney,NSW,-33.85064816,151.1319618,2,unit,NSW3,NSW282,
03/10/2020 00:00,935000,Abbotsford,Sydney,NSW,-33.8478484,151.1310942,2,unit,NSW3,NSW282,
10/04/2019 00:00,,Concord,Sydney,NSW,-33.86529699,151.1071961,3,unit,NSW1012,NSW282,
09/29/2018 00:00,760000,Abbotsford,Sydney,NSW,-33.849086,151.123567,2,unit,NSW3,NSW282,
10/13/2018 00:00,775000,Abbotsford,Sydney,NSW,-33.847066,151.128781,2,unit,NSW3,NSW282,
11/24/2018 00:00,1265000,Abbotsford,Sydney,NSW,-33.853032,151.129042,2,unit,NSW3,NSW282,
11/30/2018 00:00,1800000,Abbotsford,Sydney,NSW,-33.847066,151.131772,3,unit,NSW3,NSW282,
09/11/2019 00:00,,Concord,Sydney,NSW,-33.86030567,151.1110016,1,unit,NSW1012,NSW282,
03/14/2020 00:00,1216000,Abbotsford,Sydney,NSW,-33.85068732,151.1268674,3,unit,NSW3,NSW282,
03/27/2020 00:00,1510000,Abbotsford,Sydney,NSW,-33.84937315,151.1306593,3,unit,NSW3,NSW282,
09/02/2019 00:00,,Concord,Sydney,NSW,-33.86156526,151.0986242,3,unit,NSW1012,NSW282,
03/28/2020 00:00,1525000,Abbotsford,Sydney,NSW,-33.84937315,151.1306593,3,unit,NSW3,NSW282,
10/16/2019 00:00,600000,Alexandria,Sydney,NSW,-33.92023047,151.196848,1,unit,NSW30,NSW200,
07/09/2020 00:00,670000,Alexandria,Sydney,NSW,-33.90655807,151.1910902,1,unit,NSW30,NSW200,
07/22/2019 00:00,,Concord,Sydney,NSW,-33.857948,151.116896,2,unit,NSW1012,NSW282,
