suburb,sub_avg_bedrooms,sub_avg_price,sub_min_price,sub_max_price,sub_house_count,sub_total_sales
Abbotsford,2.4285714285714284,1327736.8421052631,760000.0,3600000.0,38,50454000.0
Alexandria,1.5916230366492146,775838.3486842106,435000.0,1455000.0,152,117927429.0
Allawah,2.2857142857142856,649460.1159420289,526000.0,780000.0,69,44812748.0
Ambarvale,2.0,331500.0,270000.0,380000.0,5,1657500.0
Annandale,1.5675675675675675,872910.7142857143,330000.0,2700000.0,28,24441500.0
Arncliffe,1.9603960396039604,660400.0,438000.0,950000.0,70,46228000.0
Artarmon,1.959016393442623,895544.0212765958,300000.0,1400000.0,94,84181138.0
Ashfield,1.8590604026845639,662867.5925925926,280000.0,1028000.0,216,143179400.0
Asquith,1.8873239436619718,639803.9215686275,445000.0,940000.0,51,32630000.0
Auburn,2.208955223880597,486335.91333333333,175000.0,760000.0,150,72950387.0
Balmain,1.8372093023255813,1157158.3333333333,540000.0,4000000.0,60,69429500.0
Balmain East,1.7777777777777777,1116428.5714285714,600000.0,1630000.0,7,7815000.0
Bangor,1.8,524000.0,378000.0,585000.0,5,2620000.0
Banksia,2.0,542500.0,495000.0,590000.0,2,1085000.0
Bankstown,2.087463556851312,489735.04048583,335000.0,5200000.0,247,120964555.0
Barangaroo,2.0,3650000.0,1975000.0,5700000.0,3,10950000.0
Bardwell Valley,1.0,372000.0,372000.0,372000.0,1,372000.0
Baulkham Hills,2.2291666666666665,640388.3157894737,451000.0,1300000.0,76,48669512.0
Beaconsfield,2.0,727583.3333333334,595000.0,865000.0,6,4365500.0
Beecroft,1.8928571428571428,923166.6666666666,619000.0,2380000.0,18,16617000.0
Belfield,2.0,598055.5555555555,468000.0,740000.0,9,5382500.0
Bella Vista,2.3333333333333335,1075000.0,1075000.0,1075000.0,1,1075000.0
Bellevue Hill,2.200892857142857,1313382.8137931034,420000.0,5200000.0,145,190440508.0
Belmore,2.0256410256410255,515101.546875,402500.0,830000.0,64,32966499.0
Berala,2.0434782608695654,452764.70588235295,300000.0,645000.0,17,7697000.0
Berowra Heights,3.0,628750.0,612500.0,645000.0,2,1257500.0
Beverly Hills,2.2580645161290325,611763.7931034482,335000.0,765000.0,29,17741150.0
Bexley,1.9519230769230769,570864.367816092,375000.0,810000.0,87,49665200.0
Bexley North,2.0,623450.0,529000.0,725000.0,10,6234500.0
Birchgrove,1.8571428571428572,1152375.0,590000.0,3425000.0,12,13828500.0
Blacktown,1.9819277108433735,406076.51612903224,312000.0,600000.0,124,50353488.0
Blakehurst,2.0,514400.0,302000.0,700000.0,5,2572000.0
Bondi,1.9665071770334928,1129780.9027777778,500000.0,2250000.0,144,162688450.0
